"","Tina","Resguardo","Silvestre","MARCA","Mes","PESO","Marca","Peso","Tina","Resguardo","Silvestre","Tiempo","TinaGrande"
"1",1,"CR",0,187,"ENERO",34.1,"187",34.1,"1","CR","0",1,"1"
"2",1,"CR",0,187,"FEBRERO",37.9,"187",37.9,"1","CR","0",2,"1"
"3",1,"CR",0,187,"MARZO",43.1,"187",43.1,"1","CR","0",3,"1"
"4",1,"CR",0,187,"ABRIL",52,"187",52,"1","CR","0",4,"1"
"5",1,"CR",0,187,"MAYO",56.8,"187",56.8,"1","CR","0",5,"1"
"6",1,"CR",0,187,"JUNIO",59.1,"187",59.1,"1","CR","0",6,"1"
"7",1,"CR",0,420,"ENERO",62.7,"420",62.7,"1","CR","0",1,"1"
"8",1,"CR",0,420,"FEBRERO",76.5,"420",76.5,"1","CR","0",2,"1"
"9",1,"CR",0,420,"MARZO",81.7,"420",81.7,"1","CR","0",3,"1"
"10",1,"CR",0,420,"ABRIL",72.8,"420",72.8,"1","CR","0",4,"1"
"11",1,"CR",0,420,"MAYO",78.4,"420",78.4,"1","CR","0",5,"1"
"12",1,"CR",0,420,"JUNIO",86,"420",86,"1","CR","0",6,"1"
"13",1,"CR",0,449,"ENERO",61.7,"449",61.7,"1","CR","0",1,"1"
"14",1,"CR",0,449,"FEBRERO",88.8,"449",88.8,"1","CR","0",2,"1"
"15",1,"CR",0,449,"MARZO",94.5,"449",94.5,"1","CR","0",3,"1"
"16",1,"CR",0,449,"ABRIL",110,"449",110,"1","CR","0",4,"1"
"17",1,"CR",0,449,"MAYO",118.7,"449",118.7,"1","CR","0",5,"1"
"18",1,"CR",0,449,"JUNIO",129.2,"449",129.2,"1","CR","0",6,"1"
"19",1,"CR",0,450,"ENERO",57.3,"450",57.3,"1","CR","0",1,"1"
"20",1,"CR",0,450,"FEBRERO",76.2,"450",76.2,"1","CR","0",2,"1"
"21",1,"CR",0,450,"MARZO",79.9,"450",79.9,"1","CR","0",3,"1"
"22",1,"CR",0,450,"ABRIL",91.4,"450",91.4,"1","CR","0",4,"1"
"23",1,"CR",0,450,"MAYO",87.6,"450",87.6,"1","CR","0",5,"1"
"24",1,"CR",0,450,"JUNIO",80.2,"450",80.2,"1","CR","0",6,"1"
"25",1,"CR",0,509,"ENERO",45.1,"526",65.7,"1","CR","0",1,"1"
"26",1,"CR",0,509,"FEBRERO",52.1,"526",74.4,"1","CR","0",2,"1"
"27",1,"CR",0,509,"MARZO",59.2,"526",82.8,"1","CR","0",3,"1"
"28",1,"CR",0,509,"ABRIL",65.7,"526",81.1,"1","CR","0",4,"1"
"29",1,"CR",0,509,"MAYO",70.4,"526",99.3,"1","CR","0",5,"1"
"30",1,"CR",0,509,"JUNIO",79.2,"526",122.3,"1","CR","0",6,"1"
"31",1,"CR",0,526,"ENERO",65.7,"509",45.1,"1","CR","0",1,"1"
"32",1,"CR",0,526,"FEBRERO",74.4,"509",52.1,"1","CR","0",2,"1"
"33",1,"CR",0,526,"MARZO",82.8,"509",59.2,"1","CR","0",3,"1"
"34",1,"CR",0,526,"ABRIL",81.1,"509",65.7,"1","CR","0",4,"1"
"35",1,"CR",0,526,"MAYO",99.3,"509",70.4,"1","CR","0",5,"1"
"36",1,"CR",0,526,"JUNIO",122.3,"509",79.2,"1","CR","0",6,"1"
"37",2,"SR",1,104,"ENERO",NA,"325",85.4,"2","SR","0",1,"1"
"38",2,"SR",1,104,"FEBRERO",95.3,"325",NA,"2","SR","0",2,"1"
"39",2,"SR",1,104,"MARZO",83.5,"325",NA,"2","SR","0",3,"1"
"40",2,"SR",1,104,"ABRIL",76.2,"325",NA,"2","SR","0",4,"1"
"41",2,"SR",1,104,"MAYO",79.5,"325",NA,"2","SR","0",5,"1"
"42",2,"SR",1,104,"JUNIO",82.4,"325",NA,"2","SR","0",6,"1"
"43",2,"SR",1,106,"ENERO",NA,"447",63.8,"2","SR","0",1,"1"
"44",2,"SR",1,106,"FEBRERO",77.4,"447",60.7,"2","SR","0",2,"1"
"45",2,"SR",1,106,"MARZO",77.2,"447",59.4,"2","SR","0",3,"1"
"46",2,"SR",1,106,"ABRIL",93.4,"447",59.9,"2","SR","0",4,"1"
"47",2,"SR",1,106,"MAYO",96.5,"447",50.4,"2","SR","0",5,"1"
"48",2,"SR",1,106,"JUNIO",108,"447",45.7,"2","SR","0",6,"1"
"49",2,"SR",1,110,"ENERO",NA,"527",55.2,"2","SR","0",1,"1"
"50",2,"SR",1,110,"FEBRERO",68.4,"527",58.6,"2","SR","0",2,"1"
"51",2,"SR",1,110,"MARZO",89.1,"527",62.8,"2","SR","0",3,"1"
"52",2,"SR",1,110,"ABRIL",92.7,"527",72.5,"2","SR","0",4,"1"
"53",2,"SR",1,110,"MAYO",94.7,"527",68.6,"2","SR","0",5,"1"
"54",2,"SR",1,110,"JUNIO",98,"527",62.6,"2","SR","0",6,"1"
"55",2,"SR",0,325,"ENERO",85.4,"104",NA,"2","SR","1",1,"1"
"56",2,"SR",0,325,"FEBRERO",NA,"104",95.3,"2","SR","1",2,"1"
"57",2,"SR",0,325,"MARZO",NA,"104",83.5,"2","SR","1",3,"1"
"58",2,"SR",0,325,"ABRIL",NA,"104",76.2,"2","SR","1",4,"1"
"59",2,"SR",0,325,"MAYO",NA,"104",79.5,"2","SR","1",5,"1"
"60",2,"SR",0,325,"JUNIO",NA,"104",82.4,"2","SR","1",6,"1"
"61",2,"SR",0,447,"ENERO",63.8,"106",NA,"2","SR","1",1,"1"
"62",2,"SR",0,447,"FEBRERO",60.7,"106",77.4,"2","SR","1",2,"1"
"63",2,"SR",0,447,"MARZO",59.4,"106",77.2,"2","SR","1",3,"1"
"64",2,"SR",0,447,"ABRIL",59.9,"106",93.4,"2","SR","1",4,"1"
"65",2,"SR",0,447,"MAYO",50.4,"106",96.5,"2","SR","1",5,"1"
"66",2,"SR",0,447,"JUNIO",45.7,"106",108,"2","SR","1",6,"1"
"67",2,"SR",0,527,"ENERO",55.2,"110",NA,"2","SR","1",1,"1"
"68",2,"SR",0,527,"FEBRERO",58.6,"110",68.4,"2","SR","1",2,"1"
"69",2,"SR",0,527,"MARZO",62.8,"110",89.1,"2","SR","1",3,"1"
"70",2,"SR",0,527,"ABRIL",72.5,"110",92.7,"2","SR","1",4,"1"
"71",2,"SR",0,527,"MAYO",68.6,"110",94.7,"2","SR","1",5,"1"
"72",2,"SR",0,527,"JUNIO",62.6,"110",98,"2","SR","1",6,"1"
"73",2,"SR",1,546,"ENERO",NA,"546",NA,"2","SR","1",1,"1"
"74",2,"SR",1,546,"FEBRERO",80.8,"546",80.8,"2","SR","1",2,"1"
"75",2,"SR",1,546,"MARZO",94.6,"546",94.6,"2","SR","1",3,"1"
"76",2,"SR",1,546,"ABRIL",91.7,"546",91.7,"2","SR","1",4,"1"
"77",2,"SR",1,546,"MAYO",89.1,"546",89.1,"2","SR","1",5,"1"
"78",2,"SR",1,546,"JUNIO",89.6,"546",89.6,"2","SR","1",6,"1"
"79",2,"SR",1,547,"ENERO",NA,"547",NA,"2","SR","1",1,"1"
"80",2,"SR",1,547,"FEBRERO",79.7,"547",79.7,"2","SR","1",2,"1"
"81",2,"SR",1,547,"MARZO",79.4,"547",79.4,"2","SR","1",3,"1"
"82",2,"SR",1,547,"ABRIL",80,"547",80,"2","SR","1",4,"1"
"83",2,"SR",1,547,"MAYO",82.2,"547",82.2,"2","SR","1",5,"1"
"84",2,"SR",1,547,"JUNIO",83.1,"547",83.1,"2","SR","1",6,"1"
"85",3,"CR",0,426,"ENERO",70.9,"426",70.9,"3","CR","0",1,"1"
"86",3,"CR",0,426,"FEBRERO",NA,"426",NA,"3","CR","0",2,"1"
"87",3,"CR",0,426,"MARZO",NA,"426",NA,"3","CR","0",3,"1"
"88",3,"CR",0,426,"ABRIL",NA,"426",NA,"3","CR","0",4,"1"
"89",3,"CR",0,426,"MAYO",NA,"426",NA,"3","CR","0",5,"1"
"90",3,"CR",0,426,"JUNIO",NA,"426",NA,"3","CR","0",6,"1"
"91",3,"CR",0,475,"ENERO",48.2,"475",48.2,"3","CR","0",1,"1"
"92",3,"CR",0,475,"FEBRERO",52.4,"475",52.4,"3","CR","0",2,"1"
"93",3,"CR",0,475,"MARZO",59.7,"475",59.7,"3","CR","0",3,"1"
"94",3,"CR",0,475,"ABRIL",72,"475",72,"3","CR","0",4,"1"
"95",3,"CR",0,475,"MAYO",76,"475",76,"3","CR","0",5,"1"
"96",3,"CR",0,475,"JUNIO",83.5,"475",83.5,"3","CR","0",6,"1"
"97",3,"CR",0,492,"ENERO",47,"492",47,"3","CR","0",1,"1"
"98",3,"CR",0,492,"FEBRERO",59.6,"492",59.6,"3","CR","0",2,"1"
"99",3,"CR",0,492,"MARZO",69,"492",69,"3","CR","0",3,"1"
"100",3,"CR",0,492,"ABRIL",90.7,"492",90.7,"3","CR","0",4,"1"
"101",3,"CR",0,492,"MAYO",101.6,"492",101.6,"3","CR","0",5,"1"
"102",3,"CR",0,492,"JUNIO",111.4,"492",111.4,"3","CR","0",6,"1"
"103",3,"CR",0,511,"ENERO",63.3,"511",63.3,"3","CR","0",1,"1"
"104",3,"CR",0,511,"FEBRERO",NA,"511",NA,"3","CR","0",2,"1"
"105",3,"CR",0,511,"MARZO",NA,"511",NA,"3","CR","0",3,"1"
"106",3,"CR",0,511,"ABRIL",NA,"511",NA,"3","CR","0",4,"1"
"107",3,"CR",0,511,"MAYO",NA,"511",NA,"3","CR","0",5,"1"
"108",3,"CR",0,511,"JUNIO",NA,"511",NA,"3","CR","0",6,"1"
"109",4,"SR",0,425,"ENERO",95.4,"427",77.5,"4","SR","0",1,"2"
"110",4,"SR",0,425,"FEBRERO",98.6,"427",89.3,"4","SR","0",2,"2"
"111",4,"SR",0,425,"MARZO",111.7,"427",96.3,"4","SR","0",3,"2"
"112",4,"SR",0,425,"ABRIL",113.8,"427",121.7,"4","SR","0",4,"2"
"113",4,"SR",0,425,"MAYO",119.7,"427",137.5,"4","SR","0",5,"2"
"114",4,"SR",0,425,"JUNIO",128.8,"427",142,"4","SR","0",6,"2"
"115",4,"SR",0,427,"ENERO",77.5,"493",45,"4","SR","0",1,"2"
"116",4,"SR",0,427,"FEBRERO",89.3,"493",49.7,"4","SR","0",2,"2"
"117",4,"SR",0,427,"MARZO",96.3,"493",54.6,"4","SR","0",3,"2"
"118",4,"SR",0,427,"ABRIL",121.7,"493",75,"4","SR","0",4,"2"
"119",4,"SR",0,427,"MAYO",137.5,"493",77.7,"4","SR","0",5,"2"
"120",4,"SR",0,427,"JUNIO",142,"493",80.6,"4","SR","0",6,"2"
"121",4,"SR",0,493,"ENERO",45,"512",57.2,"4","SR","0",1,"2"
"122",4,"SR",0,493,"FEBRERO",49.7,"512",61.4,"4","SR","0",2,"2"
"123",4,"SR",0,493,"MARZO",54.6,"512",69.8,"4","SR","0",3,"2"
"124",4,"SR",0,493,"ABRIL",75,"512",86.2,"4","SR","0",4,"2"
"125",4,"SR",0,493,"MAYO",77.7,"512",87.3,"4","SR","0",5,"2"
"126",4,"SR",0,493,"JUNIO",80.6,"512",96.3,"4","SR","0",6,"2"
"127",4,"SR",0,512,"ENERO",57.2,"529",44.5,"4","SR","0",1,"2"
"128",4,"SR",0,512,"FEBRERO",61.4,"529",46.3,"4","SR","0",2,"2"
"129",4,"SR",0,512,"MARZO",69.8,"529",58.7,"4","SR","0",3,"2"
"130",4,"SR",0,512,"ABRIL",86.2,"529",68.1,"4","SR","0",4,"2"
"131",4,"SR",0,512,"MAYO",87.3,"529",67.3,"4","SR","0",5,"2"
"132",4,"SR",0,512,"JUNIO",96.3,"529",66,"4","SR","0",6,"2"
"133",4,"SR",0,529,"ENERO",44.5,"425",95.4,"4","SR","0",1,"2"
"134",4,"SR",0,529,"FEBRERO",46.3,"425",98.6,"4","SR","0",2,"2"
"135",4,"SR",0,529,"MARZO",58.7,"425",111.7,"4","SR","0",3,"2"
"136",4,"SR",0,529,"ABRIL",68.1,"425",113.8,"4","SR","0",4,"2"
"137",4,"SR",0,529,"MAYO",67.3,"425",119.7,"4","SR","0",5,"2"
"138",4,"SR",0,529,"JUNIO",66,"425",128.8,"4","SR","0",6,"2"
"139",5,"CR",1,107,"ENERO",NA,"434",71.7,"5","CR","0",1,"2"
"140",5,"CR",1,107,"FEBRERO",95.3,"434",77.3,"5","CR","0",2,"2"
"141",5,"CR",1,107,"MARZO",102.7,"434",87.3,"5","CR","0",3,"2"
"142",5,"CR",1,107,"ABRIL",128.1,"434",103.3,"5","CR","0",4,"2"
"143",5,"CR",1,107,"MAYO",156.4,"434",103.6,"5","CR","0",5,"2"
"144",5,"CR",1,107,"JUNIO",182.8,"434",105,"5","CR","0",6,"2"
"145",5,"CR",0,434,"ENERO",71.7,"530",47.8,"5","CR","0",1,"2"
"146",5,"CR",0,434,"FEBRERO",77.3,"530",51.2,"5","CR","0",2,"2"
"147",5,"CR",0,434,"MARZO",87.3,"530",57.9,"5","CR","0",3,"2"
"148",5,"CR",0,434,"ABRIL",103.3,"530",66.5,"5","CR","0",4,"2"
"149",5,"CR",0,434,"MAYO",103.6,"530",74.6,"5","CR","0",5,"2"
"150",5,"CR",0,434,"JUNIO",105,"530",81,"5","CR","0",6,"2"
"151",5,"CR",0,530,"ENERO",47.8,"107",NA,"5","CR","1",1,"2"
"152",5,"CR",0,530,"FEBRERO",51.2,"107",95.3,"5","CR","1",2,"2"
"153",5,"CR",0,530,"MARZO",57.9,"107",102.7,"5","CR","1",3,"2"
"154",5,"CR",0,530,"ABRIL",66.5,"107",128.1,"5","CR","1",4,"2"
"155",5,"CR",0,530,"MAYO",74.6,"107",156.4,"5","CR","1",5,"2"
"156",5,"CR",0,530,"JUNIO",81,"107",182.8,"5","CR","1",6,"2"
"157",5,"CR",1,542,"ENERO",NA,"542",NA,"5","CR","1",1,"2"
"158",5,"CR",1,542,"FEBRERO",89,"542",89,"5","CR","1",2,"2"
"159",5,"CR",1,542,"MARZO",94.3,"542",94.3,"5","CR","1",3,"2"
"160",5,"CR",1,542,"ABRIL",107.3,"542",107.3,"5","CR","1",4,"2"
"161",5,"CR",1,542,"MAYO",111.8,"542",111.8,"5","CR","1",5,"2"
"162",5,"CR",1,542,"JUNIO",116.4,"542",116.4,"5","CR","1",6,"2"
"163",5,"CR",1,543,"ENERO",NA,"543",NA,"5","CR","1",1,"2"
"164",5,"CR",1,543,"FEBRERO",101.8,"543",101.8,"5","CR","1",2,"2"
"165",5,"CR",1,543,"MARZO",90.3,"543",90.3,"5","CR","1",3,"2"
"166",5,"CR",1,543,"ABRIL",94.8,"543",94.8,"5","CR","1",4,"2"
"167",5,"CR",1,543,"MAYO",90.9,"543",90.9,"5","CR","1",5,"2"
"168",5,"CR",1,543,"JUNIO",NA,"543",NA,"5","CR","1",6,"2"
"169",5,"CR",1,544,"ENERO",NA,"544",NA,"5","CR","1",1,"2"
"170",5,"CR",1,544,"FEBRERO",87.6,"544",87.6,"5","CR","1",2,"2"
"171",5,"CR",1,544,"MARZO",71.3,"544",71.3,"5","CR","1",3,"2"
"172",5,"CR",1,544,"ABRIL",101.9,"544",101.9,"5","CR","1",4,"2"
"173",5,"CR",1,544,"MAYO",114.3,"544",114.3,"5","CR","1",5,"2"
"174",5,"CR",1,544,"JUNIO",119.2,"544",119.2,"5","CR","1",6,"2"
"175",5,"CR",1,548,"ENERO",NA,"548",NA,"5","CR","1",1,"2"
"176",5,"CR",1,548,"FEBRERO",89.1,"548",89.1,"5","CR","1",2,"2"
"177",5,"CR",1,548,"MARZO",90.6,"548",90.6,"5","CR","1",3,"2"
"178",5,"CR",1,548,"ABRIL",107.7,"548",107.7,"5","CR","1",4,"2"
"179",5,"CR",1,548,"MAYO",124.7,"548",124.7,"5","CR","1",5,"2"
"180",5,"CR",1,548,"JUNIO",130.2,"548",130.2,"5","CR","1",6,"2"
"181",6,"SR",0,435,"ENERO",77.5,"435",77.5,"6","SR","0",1,"2"
"182",6,"SR",0,435,"FEBRERO",84.6,"435",84.6,"6","SR","0",2,"2"
"183",6,"SR",0,435,"MARZO",90.1,"435",90.1,"6","SR","0",3,"2"
"184",6,"SR",0,435,"ABRIL",88.2,"435",88.2,"6","SR","0",4,"2"
"185",6,"SR",0,435,"MAYO",97.6,"435",97.6,"6","SR","0",5,"2"
"186",6,"SR",0,435,"JUNIO",102.3,"435",102.3,"6","SR","0",6,"2"
"187",6,"SR",0,456,"ENERO",91.8,"456",91.8,"6","SR","0",1,"2"
"188",6,"SR",0,456,"FEBRERO",90.9,"456",90.9,"6","SR","0",2,"2"
"189",6,"SR",0,456,"MARZO",90.6,"456",90.6,"6","SR","0",3,"2"
"190",6,"SR",0,456,"ABRIL",116.6,"456",116.6,"6","SR","0",4,"2"
"191",6,"SR",0,456,"MAYO",118.3,"456",118.3,"6","SR","0",5,"2"
"192",6,"SR",0,456,"JUNIO",119.9,"456",119.9,"6","SR","0",6,"2"
"193",6,"SR",0,478,"ENERO",34.1,"478",34.1,"6","SR","0",1,"2"
